dataset,pipeline,ndcg_10,exp_ndcg_10,ndcg_100,map_100,mrr_10,p_10,p_100,strict_10,recall_10,recall_50,recall_100,recall_200,recall_500,recall_1000,completeness_100,completeness_500,completeness_1000,strict_100,strict_1000,oracle_ndcg_10,retrieval_api_p50_ms,retrieval_api_p90_ms,retrieval_api_p99_ms,retrieval_api_mean_ms,batch_throughput_qps,harness_per_query_ms,num_docs,num_queries,index_disk_mb,host_ram_peak_mb,index_build_s,cache_load_s,ndcg_50,strict_50
bright_pony,V7_BM25_tau055,0.0233,0.0233,0.085,0.0124,0.0536,0.025,0.0288,0.1964,0.0151,0.0821,0.1493,0.2616,0.5107,0.7573,0.0,0.0179,0.0536,0.8482,1.0,0.9723,55.74,58.59,60.4,55.93,7.42,223.68,7894,112,10.68,2392.95,5.75,0.0,0.0547,0.6786
bright_pony,V7_BM25_tau075,0.0255,0.0255,0.0912,0.0144,0.0672,0.0241,0.0302,0.1875,0.016,0.0882,0.1565,0.2677,0.5359,0.7661,0.0,0.0268,0.0536,0.8571,1.0,0.9729,36.05,38.56,41.14,36.44,10.57,159.06,7894,112,10.68,2456.13,5.75,0.0,0.0605,0.6786
bright_pony,V7_DPH_tau055,0.0574,0.0574,0.1274,0.0245,0.1248,0.0598,0.0387,0.4196,0.0326,0.1333,0.2048,0.3105,0.5003,0.6929,0.0089,0.0179,0.0268,0.9196,1.0,0.9618,55.56,57.45,63.32,55.74,8.75,202.61,7894,112,10.68,2515.35,5.75,0.0,0.0976,0.8482
bright_pony,V7_DPH_tau075,0.0606,0.0606,0.1319,0.0258,0.1292,0.0634,0.0402,0.4375,0.034,0.1378,0.2115,0.3206,0.5203,0.7083,0.0089,0.0179,0.0268,0.9196,1.0,0.9665,36.0,38.8,44.49,36.49,10.64,157.18,7894,112,10.68,2521.36,5.75,0.0,0.1011,0.8571
bright_pony,V7_BM25_tau060,0.0232,0.0232,0.0855,0.0126,0.0534,0.025,0.029,0.1964,0.0151,0.0829,0.1499,0.2641,0.5156,0.7608,0.0,0.0179,0.0536,0.8482,1.0,0.9729,53.93,56.26,60.76,54.11,14.87,153.38,7894,112,10.68,2411.35,5.75,0.0,0.0552,0.6786
bright_pony,V7_BM25_tau065,0.0214,0.0214,0.0854,0.0126,0.0511,0.0223,0.0289,0.1786,0.0134,0.0851,0.1496,0.2649,0.5202,0.7638,0.0,0.0179,0.0536,0.8482,1.0,0.9729,50.11,53.69,58.7,50.54,21.53,128.97,7894,112,10.68,2466.18,5.75,0.0,0.0563,0.6786
bright_pony,V7_BM25_tau070,0.0231,0.0231,0.0885,0.0132,0.053,0.0241,0.0298,0.1786,0.0153,0.087,0.1555,0.2689,0.5305,0.7736,0.0,0.0268,0.0536,0.8393,1.0,0.9741,42.97,46.7,51.42,43.26,25.39,113.21,7894,112,10.68,2467.62,5.75,0.0,0.0581,0.6964
bright_pony,V7_DPH_tau060,0.058,0.058,0.1281,0.0247,0.1258,0.0607,0.0389,0.4286,0.033,0.1345,0.2056,0.3117,0.5018,0.6976,0.0089,0.0179,0.0268,0.9196,1.0,0.9653,54.82,57.39,59.76,54.84,19.34,140.3,7894,112,10.68,2493.96,5.75,0.0,0.0984,0.8482
bright_pony,V7_DPH_tau065,0.0585,0.0585,0.1285,0.0248,0.1258,0.0616,0.0391,0.4286,0.0334,0.1332,0.2065,0.3139,0.5074,0.7027,0.0089,0.0179,0.0268,0.9196,1.0,0.9657,51.24,54.38,57.89,51.48,21.06,130.41,7894,112,10.68,2544.43,5.75,0.0,0.0978,0.8482
bright_pony,V7_DPH_tau070,0.0577,0.0577,0.1311,0.0256,0.1261,0.0598,0.0398,0.4196,0.0325,0.1368,0.2103,0.3161,0.5121,0.7121,0.0089,0.0179,0.0268,0.9196,1.0,0.9669,43.14,46.91,48.81,43.55,25.68,112.48,7894,112,10.68,2505.3,5.75,0.0,0.1003,0.8571
