dataset,tier,queries,bm25_ndcg10,v8_bm25_ndcg10,delta_ndcg10,bm25_gold_in_top10_count,bm25_gold_in_top10_pct,ties_count,ties_pct,gains_count,gains_pct,drops_count,drops_pct,dominant_outcome
nfcorpus,< 100k docs,323,0.3282,0.3222,-0.006,226,70.0,268,83.0,17,5.3,38,11.8,Drops > Gains (▼)
scifact,< 100k docs,300,0.2149,0.6817,0.4668,80,26.7,116,38.7,180,60.0,4,1.3,Gains > Drops (▲)
arguana,< 100k docs,1406,0.3662,0.3569,-0.0092,1073,76.3,1087,77.3,129,9.2,190,13.5,Drops > Gains (▼)
bright_pony,< 100k docs,112,0.0252,0.0231,-0.002,24,21.4,102,91.1,4,3.6,6,5.4,Drops > Gains (▼)
bright_theoremqa_theorems,< 100k docs,76,0.0192,0.0161,-0.0032,5,6.6,73,96.1,1,1.3,2,2.6,Drops > Gains (▼)
scidocs,< 100k docs,1000,0.1582,0.1506,-0.0076,498,49.8,857,85.7,53,5.3,90,9.0,Drops > Gains (▼)
bright_economics,< 100k docs,103,0.1177,0.1114,-0.0063,27,26.2,90,87.4,6,5.8,7,6.8,Drops > Gains (▼)
bright_psychology,< 100k docs,101,0.0926,0.0938,0.0013,22,21.8,90,89.1,7,6.9,4,4.0,Gains > Drops (▲)
bright_biology,< 100k docs,103,0.0912,0.086,-0.0052,29,28.2,93,90.3,4,3.9,6,5.8,Drops > Gains (▼)
fiqa,< 100k docs,648,0.2526,0.2446,-0.0081,318,49.1,583,90.0,23,3.5,42,6.5,Drops > Gains (▼)
bright_sustainable_living,< 100k docs,108,0.0981,0.0895,-0.0086,33,30.6,91,84.3,6,5.6,11,10.2,Drops > Gains (▼)
bright_robotics,< 100k docs,101,0.0996,0.0985,-0.0012,29,28.7,90,89.1,6,5.9,5,5.0,Gains > Drops (▲)
bright_stackoverflow,>= 100k docs,117,0.1561,0.1515,-0.0046,38,32.5,102,87.2,5,4.3,10,8.5,Drops > Gains (▼)
bright_earth_science,>= 100k docs,116,0.1201,0.1183,-0.0018,37,31.9,95,81.9,11,9.5,10,8.6,Gains > Drops (▲)
bright_aops,>= 100k docs,111,0.0604,0.061,0.0007,23,20.7,110,99.1,1,0.9,0,0.0,Gains > Drops (▲)
bright_theoremqa_questions,>= 100k docs,194,0.07,0.0731,0.0031,22,11.3,187,96.4,4,2.1,3,1.5,Gains > Drops (▲)
webis_touche2020,>= 100k docs,49,0.2979,0.2781,-0.0198,45,91.8,35,71.4,3,6.1,11,22.4,Drops > Gains (▼)
trec_covid,>= 100k docs,50,0.6295,0.5981,-0.0314,50,100.0,33,66.0,3,6.0,14,28.0,Drops > Gains (▼)
bright_leetcode,>= 100k docs,142,0.2496,0.237,-0.0126,59,41.5,126,88.7,4,2.8,12,8.5,Drops > Gains (▼)
quora,>= 100k docs,10000,0.7676,0.745,-0.0226,9113,91.1,9411,94.1,103,1.0,486,4.9,Drops > Gains (▼)
