dataset,tier,queries,safe_addressable_top20_pct,safe_addressable_top100_pct,v8_selected_safe_pct,c_beneficial_prop,c_beneficial_acc,stage3_gate_recall,c_harmful_prop,c_harmful_acc,stage3_harmful_rejection,c_dormant_prop,c_dormant_acc,stage3_accepted_precision,mean_oracle_abstaining_ndcg,mean_oracle_forced_ndcg,mean_oracle_delta_r100,mean_oracle_delta_r1000,queries_pos_delta_r100,queries_pos_delta_r1000,queries_neg_delta_r1000
nfcorpus,Small (< 100k),50,48.0,48.0,28.0,51,22,22/51 (43.1%),11,5,6/11 (54.5%),258,144,22/27 (81.5%),0.0477,0.0475,0.0268,0.0587,14,23,0
scifact,Small (< 100k),50,8.0,8.0,2.0,2,1,1/2 (50.0%),3,1,2/3 (66.7%),289,146,1/2 (50.0%),0.0076,-0.0172,0.02,0.0,1,0,0
arguana,Small (< 100k),50,0.0,0.0,0.0,0,0,NA,0,0,NA,275,144,NA,0.0,-0.0026,0.0,0.0,0,0,0
bright_pony,Small (< 100k),50,18.0,18.0,4.0,7,1,1/7 (14.3%),0,0,NA,263,133,1/1 (100.0%),0.0008,0.0008,0.0052,0.0038,4,2,1
bright_theoremqa_theorems,Small (< 100k),50,0.0,0.0,0.0,0,0,NA,1,0,1/1 (100.0%),268,140,NA,0.0,0.0,0.0,0.0,0,0,1
scidocs,Small (< 100k),50,8.0,8.0,2.0,3,0,0/3 (0.0%),3,0,3/3 (100.0%),331,187,NA,0.0005,-0.007,0.02,0.0,4,0,2
bright_economics,Small (< 100k),50,4.0,4.0,0.0,2,0,0/2 (0.0%),0,0,NA,275,147,NA,0.0017,0.0017,0.002,0.0,1,0,0
bright_psychology,Small (< 100k),50,6.0,6.0,0.0,1,0,0/1 (0.0%),1,0,1/1 (100.0%),274,153,NA,0.0114,0.011,0.0005,0.0011,1,1,0
bright_biology,Small (< 100k),50,4.0,4.0,0.0,1,0,0/1 (0.0%),0,0,NA,271,147,NA,0.0006,0.0004,0.0,0.0,0,0,0
fiqa,Small (< 100k),50,12.0,12.0,0.0,4,0,0/4 (0.0%),7,2,5/7 (71.4%),344,207,0/2 (0.0%),0.0061,-0.0022,0.01,0.02,2,1,1
bright_sustainable_living,Small (< 100k),50,2.0,2.0,0.0,1,0,0/1 (0.0%),0,0,NA,285,155,NA,0.0,-0.0003,0.0,0.0008,0,1,0
bright_robotics,Small (< 100k),50,4.0,4.0,2.0,0,0,NA,0,0,NA,234,125,NA,0.0006,0.0006,0.0,0.0,0,0,0
bright_stackoverflow,Medium (100k-500k),50,2.0,2.0,0.0,1,0,0/1 (0.0%),0,0,NA,262,150,NA,0.0001,0.0001,0.0,0.0,0,0,0
bright_earth_science,Medium (100k-500k),50,6.0,6.0,0.0,0,0,NA,0,0,NA,307,174,NA,0.0001,-0.0005,0.0062,0.0,2,0,0
bright_aops,Medium (100k-500k),50,0.0,0.0,0.0,0,0,NA,0,0,NA,254,122,NA,0.0,0.0,0.0,0.0,0,0,0
bright_theoremqa_questions,Medium (100k-500k),50,0.0,0.0,0.0,0,0,NA,0,0,NA,278,147,NA,0.0,0.0,0.0,0.0,0,0,0
bright_leetcode,Medium (100k-500k),50,0.0,0.0,0.0,0,0,NA,0,0,NA,244,141,NA,0.0,0.0,0.0,0.0,0,0,0
trec_covid,Medium (100k-500k),50,80.0,80.0,34.0,48,15,15/48 (31.2%),28,6,22/28 (78.6%),300,204,15/21 (71.4%),0.0207,0.014,0.0019,0.006,20,36,28
webis_touche2020,Medium (100k-500k),49,61.2,65.3,16.3,46,9,9/46 (19.6%),32,11,21/32 (65.6%),282,195,9/20 (45.0%),0.0535,0.0489,0.0289,0.0164,20,10,7
quora,Sentinel (> 500k),50,6.0,6.0,2.0,2,1,1/2 (50.0%),2,1,1/2 (50.0%),324,180,1/2 (50.0%),0.0077,0.0019,0.01,0.0,1,0,0
