dataset,tier,queries,stage1_pool_avail_pct,stage2_prop_recall_20,stage2_prop_recall_50,stage2_prop_recall_100,safe_addressable_top20_pct,safe_addressable_top50_pct,safe_addressable_top100_pct,wilson_ci_top20,stage3_gate_recall_pct,stage3_harmful_rejection_pct,stage3_accepted_precision_pct,stage4_v8_selected_safe_pct,mean_oracle_abstaining_ndcg,mean_oracle_forced_ndcg
nfcorpus,Small (< 100k),50,82.0,19.5,34.1,56.1,48.0,48.0,48.0,"[34.8%, 61.5%]",43.1,54.5,81.5,28.0,0.0477,0.0477
scifact,Small (< 100k),50,18.0,33.3,55.6,66.7,8.0,8.0,8.0,"[3.2%, 18.8%]",50.0,66.7,50.0,2.0,0.0076,0.0076
arguana,Small (< 100k),50,14.0,71.4,71.4,71.4,0.0,0.0,0.0,"[0.0%, 7.1%]",0.0,0.0,0.0,0.0,0.0,0.0
bright_pony,Small (< 100k),50,56.0,53.6,71.4,89.3,18.0,18.0,18.0,"[9.8%, 30.8%]",14.3,0.0,100.0,4.0,0.0008,0.0008
bright_theoremqa_theorems,Small (< 100k),50,16.0,50.0,75.0,75.0,0.0,0.0,0.0,"[0.0%, 7.1%]",0.0,100.0,0.0,0.0,0.0,0.0
scidocs,Small (< 100k),50,18.0,11.1,11.1,44.4,8.0,8.0,8.0,"[3.2%, 18.8%]",0.0,100.0,0.0,2.0,0.0005,0.0005
bright_economics,Small (< 100k),50,6.0,33.3,33.3,33.3,4.0,4.0,4.0,"[1.1%, 13.5%]",0.0,0.0,0.0,0.0,0.0017,0.0017
bright_psychology,Small (< 100k),50,16.0,62.5,62.5,62.5,6.0,6.0,6.0,"[2.1%, 16.2%]",0.0,100.0,0.0,0.0,0.0114,0.0114
bright_biology,Small (< 100k),50,12.0,66.7,66.7,66.7,4.0,4.0,4.0,"[1.1%, 13.5%]",0.0,0.0,0.0,0.0,0.0006,0.0006
fiqa,Small (< 100k),50,44.0,36.4,54.5,68.2,12.0,12.0,12.0,"[5.6%, 23.8%]",0.0,71.4,0.0,0.0,0.0061,0.0061
bright_sustainable_living,Small (< 100k),50,16.0,12.5,62.5,87.5,2.0,2.0,2.0,"[0.4%, 10.5%]",0.0,0.0,0.0,0.0,0.0,0.0
bright_robotics,Small (< 100k),50,14.0,42.9,57.1,57.1,4.0,4.0,4.0,"[1.1%, 13.5%]",0.0,0.0,0.0,2.0,0.0006,0.0006
bright_stackoverflow,Medium (100k-500k),50,8.0,75.0,100.0,100.0,2.0,2.0,2.0,"[0.4%, 10.5%]",0.0,0.0,0.0,0.0,0.0001,0.0001
bright_earth_science,Medium (100k-500k),50,14.0,28.6,42.9,71.4,6.0,6.0,6.0,"[2.1%, 16.2%]",0.0,0.0,0.0,0.0,0.0001,0.0001
bright_aops,Medium (100k-500k),50,4.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0.0%, 7.1%]",0.0,0.0,0.0,0.0,0.0,0.0
bright_theoremqa_questions,Medium (100k-500k),50,10.0,40.0,60.0,80.0,0.0,0.0,0.0,"[0.0%, 7.1%]",0.0,0.0,0.0,0.0,0.0,0.0
bright_leetcode,Medium (100k-500k),50,4.0,50.0,50.0,50.0,0.0,0.0,0.0,"[0.0%, 7.1%]",0.0,0.0,0.0,0.0,0.0,0.0
trec_covid,Medium (100k-500k),50,60.0,13.3,26.7,26.7,80.0,80.0,80.0,"[67.0%, 88.8%]",31.2,77.8,71.4,34.0,0.0207,0.0207
webis_touche2020,Medium (100k-500k),49,69.4,2.9,17.6,26.5,61.2,65.3,65.3,"[47.2%, 73.6%]",19.6,64.5,45.0,16.3,0.0535,0.0535
quora,Sentinel (> 500k),50,18.0,66.7,77.8,77.8,6.0,6.0,6.0,"[2.1%, 16.2%]",50.0,50.0,50.0,2.0,0.0077,0.0077
